,user_id,name,category
0,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,home science experiments,"reading, writing, and learning"
1,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,language learning,"reading, writing, and learning"
2,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,volunteering for a historical society,"reading, writing, and learning"
3,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,wood carving,arts and crafts
4,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,rock painting,arts and crafts
5,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,metal working,arts and crafts
6,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,drawing,arts and crafts
7,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,photography,arts and crafts
8,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,metal detecting,outdoors
9,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,canoeing,outdoors
10,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,hobby horsing,outdoors
11,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,bird watching,outdoors
12,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,beekeeping,outdoors
13,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,chess,fun and games
14,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,basketball,fun and games
15,ccb04ed8-2349-11ea-95f9-74d02b9c93aa,bowling,fun and games
16,ccb04ed9-2349-11ea-be57-74d02b9c93aa,backpacking,outdoors
17,ccb04ed9-2349-11ea-be57-74d02b9c93aa,cheese making,food or beverage
18,ccb04ed9-2349-11ea-be57-74d02b9c93aa,home brewing,food or beverage
19,ccb04ed9-2349-11ea-be57-74d02b9c93aa,cooking,food or beverage
20,ccb04ed9-2349-11ea-be57-74d02b9c93aa,gingerbread house making,food or beverage
21,ccb04ed9-2349-11ea-be57-74d02b9c93aa,furniture building,building
22,ccb04ed9-2349-11ea-be57-74d02b9c93aa,art collecting,collecting
23,ccb04ed9-2349-11ea-be57-74d02b9c93aa,rock tumbling,collecting
24,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,record collecting,collecting
25,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,vintage clothing collecting,collecting
26,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,art collecting,collecting
27,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,metal working,arts and crafts
28,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,creative writing,"reading, writing, and learning"
29,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,home science experiments,"reading, writing, and learning"
30,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,volunteering for a historical society,"reading, writing, and learning"
31,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,book club,"reading, writing, and learning"
32,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,reading,"reading, writing, and learning"
33,ccb04eda-2349-11ea-b1f0-74d02b9c93aa,parkour,outdoors
34,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,sand castle making,outdoors
35,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,meteorology,outdoors
36,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,kite flying,outdoors
37,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,bird watching,outdoors
38,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,hunting,outdoors
39,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,lego,building
40,ccb04edb-2349-11ea-a2fe-74d02b9c93aa,model railroads,building
41,ccb04edc-2349-11ea-9c27-74d02b9c93aa,geocaching,outdoors
42,ccb04edc-2349-11ea-9c27-74d02b9c93aa,backpacking,outdoors
43,ccb04edc-2349-11ea-9c27-74d02b9c93aa,creative writing,"reading, writing, and learning"
44,ccb04edc-2349-11ea-9c27-74d02b9c93aa,reading,"reading, writing, and learning"
45,ccb04edd-2349-11ea-9181-74d02b9c93aa,creative writing,"reading, writing, and learning"
46,ccb04edd-2349-11ea-9181-74d02b9c93aa,reading,"reading, writing, and learning"
47,ccb04edd-2349-11ea-9181-74d02b9c93aa,wikipedia editing,"reading, writing, and learning"
48,ccb04edd-2349-11ea-9181-74d02b9c93aa,home science experiments,"reading, writing, and learning"
49,ccb04edd-2349-11ea-9181-74d02b9c93aa,language learning,"reading, writing, and learning"
50,ccb04ede-2349-11ea-9a47-74d02b9c93aa,hula hooping,general
51,ccb04ede-2349-11ea-9a47-74d02b9c93aa,travel,general
52,ccb04ede-2349-11ea-9a47-74d02b9c93aa,podcasting,general
53,ccb04ede-2349-11ea-9a47-74d02b9c93aa,podcast hosting,general
54,ccb04ede-2349-11ea-9a47-74d02b9c93aa,gymnastics,fun and games
55,ccb04ede-2349-11ea-9a47-74d02b9c93aa,video games,fun and games
56,ccb04ede-2349-11ea-9a47-74d02b9c93aa,juggling,fun and games
57,ccb04ede-2349-11ea-9a47-74d02b9c93aa,bowling,fun and games
58,ccb04ede-2349-11ea-9a47-74d02b9c93aa,baking,food or beverage
59,ccb04ede-2349-11ea-9a47-74d02b9c93aa,cheese making,food or beverage
60,ccb04ede-2349-11ea-9a47-74d02b9c93aa,mixology,food or beverage
61,ccb04ede-2349-11ea-9a47-74d02b9c93aa,growing flowers,outdoors
62,ccb04ede-2349-11ea-9a47-74d02b9c93aa,hunting,outdoors
63,ccb04edf-2349-11ea-95cf-74d02b9c93aa,fishing,outdoors
64,ccb04edf-2349-11ea-95cf-74d02b9c93aa,windsurfing,outdoors
65,ccb04edf-2349-11ea-95cf-74d02b9c93aa,bicycling,outdoors
66,ccb04edf-2349-11ea-95cf-74d02b9c93aa,metal detecting,outdoors
67,ccb04edf-2349-11ea-95cf-74d02b9c93aa,book club,"reading, writing, and learning"
68,ccb04edf-2349-11ea-95cf-74d02b9c93aa,creative writing,"reading, writing, and learning"
69,ccb04edf-2349-11ea-95cf-74d02b9c93aa,language learning,"reading, writing, and learning"
